Les 387 ventes d'appartements d' Ermont (95) sur la période du 2017-07-01 au 2019-06-30 (Notaires de France - base de données PERVAL);;;;;;;;;
;;;;;;;;;
Montant;Surface;Nombre de pièces;Construction;Garage;DPE;GES;Etage;Cave;Terrasse / balcon
148 500 €;75 m²;3;1970 / 1980;Oui;E;F;0;-;-
108 000 €;30 m²;1;1970 / 1980;Oui;F;G;3;Oui;-
230 000 €;72 m²;3;-;Oui;D;A;1;Oui;Oui
217 000 €;94 m²;4;1948 / 1969;Oui;D;E;5;-;Oui
266 000 €;98 m²;5;1981 / 1991;Oui;D;C;6;Oui;-
220 000 €;70 m²;3;1981 / 1991;Oui;E;C;1;-;-
180 000 €;75 m²;4;1948 / 1969;Oui;D;E;0;Oui;Oui
151 000 €;68 m²;3;1970 / 1980;Non;D;E;0;-;-
177 100 €;80 m²;4;-;Oui;D;E;0;Oui;-
244 000 €;55 m²;3;2011 / 2020;Oui;B;C;2;-;Oui
296 000 €;74 m²;4;2011 / 2020;Oui;A;A;3;-;-
170 000 €;29 m²;2;1981 / 1991;Oui;C;B;3;-;-
153 470 €;48 m²;2;-;Non;C;D;0;Oui;-
186 000 €;77 m²;4;-;Oui;-;-;0;Oui;-
228 000 €;87 m²;4;-;Oui;D;E;3;-;-
203 500 €;67 m²;4;1970 / 1980;Oui;-;-;4;Oui;-
215 500 €;66 m²;3;1970 / 1980;Oui;D;E;3;-;Oui
336 100 €;87 m²;4;1992 / 2000;Oui;E;C;5;-;Oui
200 000 €;85 m²;4;1981 / 1991;Oui;C;F;4;-;-
440 000 €;116 m²;5;1992 / 2000;Oui;D;C;4;Oui;Oui
179 000 €;38 m²;2;2011 / 2020;Oui;A;C;3;-;Oui
130 514 €;80 m²;4;1970 / 1980;Oui;D;E;4;-;Oui
169 000 €;64 m²;4;1948 / 1969;Non;E;E;1;Oui;-
195 000 €;79 m²;4;1948 / 1969;Oui;E;E;1;Oui;-
236 000 €;73 m²;5;-;Oui;E;F;1;Oui;-
184 720 €;81 m²;4;-;Oui;-;-;3;Oui;-
169 000 €;57 m²;3;1948 / 1969;Non;D;E;3;Oui;-
292 000 €;102 m²;5;1970 / 1980;Oui;D;B;4;Oui;Oui
