Les 1 577 ventes d'appartements d' Issy-les-Moulineaux (92) sur la période du 2017-07-01 au 2019-06-30 (Notaires de France - base de données PERVAL);;;;;;;;;
;;;;;;;;;
Montant;Surface;Nombre de pièces;Construction;Garage;DPE;GES;Etage;Cave;Terrasse / balcon
924 000 €;93 m²;5;-;Oui;D;C;-;Oui;Oui
293 000 €;38 m²;2;1948 / 1969;Non;-;-;5;Oui;-
141 440 €;27 m²;1;1992 / 2000;Oui;C;A;9;Oui;-
735 000 €;91 m²;3;1914 / 1947;Non;-;-;5;Oui;Oui
288 020 €;71 m²;3;1981 / 1991;Oui;-;-;2;-;Oui
407 000 €;60 m²;3;-;Oui;-;-;5;Oui;Oui
160 000 €;19 m²;1;-;Non;E;E;1;-;Non
875 000 €;99 m²;4;2011 / 2020;Oui;B;B;2;-;Oui
325 000 €;54 m²;3;1948 / 1969;Oui;D;C;1;Oui;-
573 500 €;79 m²;4;-;Non;D;E;2;-;Non
480 000 €;72 m²;3;1981 / 1991;Oui;E;C;5;Oui;Oui
520 000 €;71 m²;3;1981 / 1991;Oui;D;C;1;Oui;-
616 360 €;71 m²;3;2001 / 2010;Oui;D;B;2;-;Oui
130 000 €;18 m²;1;1970 / 1980;-;-;-;3;Oui;-
496 000 €;65 m²;3;1970 / 1980;Oui;D;E;6;Oui;Oui
577 010 €;56 m²;3;1948 / 1969;Oui;-;-;4;Oui;Oui
230 000 €;28 m²;1;-;Non;F;D;5;Oui;Non
845 555 €;106 m²;5;2001 / 2010;Oui;E;B;0;Oui;Oui
86 800 €;20 m²;1;1992 / 2000;Non;C;D;1;-;Non
552 000 €;64 m²;3;-;-;C;D;1;Oui;-
221 000 €;49 m²;2;-;Non;-;-;7;Oui;Oui
160 000 €;31 m²;2;1970 / 1980;Non;D;E;3;-;-
160 000 €;30 m²;2;1948 / 1969;Non;D;E;3;-;-
460 000 €;53 m²;2;1981 / 1991;Oui;-;-;1;-;Oui
330 000 €;39 m²;2;2011 / 2020;Oui;-;-;4;Oui;Oui
430 000 €;59 m²;3;-;Non;-;-;3;Oui;Oui
395 000 €;66 m²;3;2001 / 2010;Oui;F;D;0;Oui;-
395 000 €;55 m²;3;-;Non;G;G;6;Oui;-
240 000 €;51 m²;3;1914 / 1947;-;-;-;0;-;-
507 500 €;55 m²;2;-;Non;E;F;5;Oui;Oui
295 000 €;0 m²;2;2011 / 2020;Oui;-;-;2;Oui;Oui
415 500 €;80 m²;4;-;Non;D;E;7;-;Oui
243 400 €;51 m²;2;-;Non;C;D;2;-;Non
331 313 €;63 m²;3;1970 / 1980;Oui;D;B;5;Oui;-
170 000 €;25 m²;1;1970 / 1980;Non;F;G;1;Oui;Oui
306 000 €;37 m²;1;-;Oui;-;-;1;-;-
291 725 €;40 m²;2;-;Non;-;-;2;Oui;-
310 000 €;49 m²;3;1914 / 1947;Non;E;B;4;Oui;-
1 153 750 €;120 m²;5;2001 / 2010;Oui;E;C;6;Oui;Oui
250 000 €;29 m²;1;2011 / 2020;Non;-;-;0;-;Oui
252 338 €;52 m²;2;1992 / 2000;Non;D;B;1;-;Non
363 000 €;62 m²;3;1914 / 1947;Oui;C;A;1;Oui;-
330 000 €;45 m²;2;-;Oui;-;-;6;Oui;-
315 000 €;53 m²;3;-;Non;D;F;1;Oui;Non
269 247 €;54 m²;2;1992 / 2000;Non;D;B;5;-;Oui
376 650 €;53 m²;3;-;Oui;-;-;1;Oui;Oui
417 000 €;80 m²;4;-;Non;C;D;7;Oui;Oui
280 000 €;42 m²;2;1992 / 2000;Oui;-;-;2;-;Oui
463 450 €;63 m²;3;1970 / 1980;Non;-;-;1;Oui;-
93 000 €;23 m²;1;1992 / 2000;-;D;C;5;-;Non
443 000 €;59 m²;2;-;Oui;-;-;2;-;Oui
501 000 €;70 m²;4;1948 / 1969;Non;E;E;0;Oui;Oui
416 000 €;47 m²;2;2011 / 2020;Non;-;-;3;-;Oui
282 000 €;47 m²;2;1914 / 1947;-;-;-;0;Oui;-
379 220 €;44 m²;2;1992 / 2000;Oui;D;B;5;-;Oui
144 100 €;28 m²;1;-;Oui;C;D;4;-;Oui
