Les 342 ventes d'appartements de  Sannois (95) sur la période du 2017-07-01 au 2019-06-30 (Notaires de France - base de données PERVAL);;;;;;;;;
;;;;;;;;;
Montant;Surface;Nombre de pièces;Construction;Garage;DPE;GES;Etage;Cave;Terrasse / balcon
156 000 €;75 m²;2;1970 / 1980;Oui;D;D;4;Oui;-
140 000 €;28 m²;1;2011 / 2020;Oui;-;-;3;-;-
177 700 €;66 m²;3;-;Oui;-;-;2;Oui;-
90 000 €;34 m²;1;-;Oui;E;C;3;Oui;-
170 000 €;46 m²;2;2001 / 2010;Oui;D;B;1;Oui;-
210 000 €;77 m²;4;1948 / 1969;Oui;D;C;2;Oui;-
122 600 €;29 m²;1;2011 / 2020;Oui;-;-;0;-;-
135 000 €;68 m²;4;1948 / 1969;Oui;-;-;1;Oui;Oui
226 000 €;62 m²;3;2011 / 2020;Oui;-;-;1;-;Oui
289 999 €;60 m²;3;2011 / 2020;Oui;-;-;3;-;Oui
215 000 €;77 m²;4;1992 / 2000;Oui;-;-;2;-;-
231 200 €;60 m²;3;2011 / 2020;Oui;-;-;3;-;Oui
219 000 €;43 m²;2;2011 / 2020;Oui;-;-;1;-;Oui
222 000 €;43 m²;2;2011 / 2020;Oui;-;-;3;-;Oui
177 000 €;36 m²;2;2011 / 2020;Oui;-;-;1;-;-
288 000 €;58 m²;3;2011 / 2020;Oui;-;-;5;-;Non
261 900 €;65 m²;3;1914 / 1947;Oui;F;C;0;Oui;-
112 000 €;33 m²;1;-;Oui;-;-;6;-;-
141 000 €;35 m²;2;1914 / 1947;Non;C;D;5;Oui;-
200 000 €;63 m²;3;-;Non;-;-;1;Oui;Non
255 000 €;60 m²;3;2001 / 2010;Oui;D;B;1;Oui;Oui
130 000 €;24 m²;1;2001 / 2010;Oui;D;B;2;Oui;Oui
297 000 €;84 m²;4;1992 / 2000;Oui;E;C;5;Oui;Oui
264 100 €;83 m²;4;-;Oui;-;-;0;Oui;-
200 000 €;52 m²;2;2001 / 2010;Oui;D;B;1;Oui;Oui
149 250 €;70 m²;4;1948 / 1969;Oui;C;D;0;Oui;-
165 000 €;84 m²;4;-;Oui;-;-;5;-;-
280 000 €;0 m²;3;2001 / 2010;-;-;-;3;-;-
260 000 €;0 m²;3;2001 / 2010;Non;-;-;5;-;-
147 000 €;88 m²;5;-;-;-;-;1;-;-
